demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
cooling,limit,demand_limit,improved_envelope,kWh,0,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,improved_hvac,kWh,2491.13447202,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,improved_hvac,kWh,16.4821827814,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,improved_hvac,kWh,1269.62961611,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,improved_hvac,kWh,642.383895863,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,improved_hvac,kWh,4695.23620397,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,improved_hvac,kWh,2120.1990485,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,improved_hvac,kWh,4537.12946836,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,improved_hvac,kWh,11303.6835499,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,improved_hvac,kWh,184.618764712,heating_demand.north,North,390
heating,gain,east,improved_hvac,kWh,0,heating_demand.east,East,391
heating,gain,south,improved_hvac,kWh,266.936546117,heating_demand.south,South,392
heating,gain,west,improved_hvac,kWh,0,heating_demand.west,West,393
heating,gain,horizontal,improved_hvac,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,improved_hvac,kWh,668.948163825,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,improved_hvac,kWh,3355.81756465,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,improved_hvac,kWh,0,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,improved_hvac,kWh,3236.3343767,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,improved_hvac,kWh,278.491774817,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,improved_hvac,kWh,20.1948247334,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,improved_hvac,kWh,141.935896726,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,improved_hvac,kWh,787.082048572,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,improved_hvac,kWh,524.895254879,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,improved_hvac,kWh,237.023734613,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,improved_hvac,kWh,413.603298124,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,improved_hvac,kWh,94.8189280247,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,improved_hvac,kWh,181.280647003,cooling_demand.north,North,414
cooling,gain,east,improved_hvac,kWh,0,cooling_demand.east,East,415
cooling,gain,south,improved_hvac,kWh,391.384269689,cooling_demand.south,South,416
cooling,gain,west,improved_hvac,kWh,0,cooling_demand.west,West,417
cooling,gain,horizontal,improved_hvac,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,improved_hvac,kWh,694.102254551,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,improved_hvac,kWh,4198.39721753,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,improved_hvac,kWh,0,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,enerphit_by_component,kWh,2350.663897,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,enerphit_by_component,kWh,22.2247472988,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,enerphit_by_component,kWh,1274.71189408,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,enerphit_by_component,kWh,485.070404114,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,enerphit_by_component,kWh,3806.14359003,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,enerphit_by_component,kWh,1288.08928741,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,enerphit_by_component,kWh,2716.65442254,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,enerphit_by_component,kWh,7604.08862289,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,enerphit_by_component,kWh,184.618764712,heating_demand.north,North,390
heating,gain,east,enerphit_by_component,kWh,0,heating_demand.east,East,391
heating,gain,south,enerphit_by_component,kWh,266.936546117,heating_demand.south,South,392
heating,gain,west,enerphit_by_component,kWh,0,heating_demand.west,West,393
heating,gain,horizontal,enerphit_by_component,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,enerphit_by_component,kWh,558.972338822,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,enerphit_by_component,kWh,3355.81756465,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,enerphit_by_component,kWh,0,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,enerphit_by_component,kWh,3349.27833117,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,enerphit_by_component,kWh,263.480166639,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,enerphit_by_component,kWh,25.8960540867,cooling_demand.walls_bg,Walls (BG),401
