section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
envelope,envelope.wall_bg,Wall BG,improved_hvac,Improved HVAC,Ext. Wall - Rear,hr-ft2-F/Btu,17.9,329
envelope,envelope.wall_bg,Wall BG,enerphit_by_component,EnerPHit by Component,Ext. Wall - Rear,hr-ft2-F/Btu,19,329
envelope,envelope.wall_bg,Wall BG,enerphit_by_demand,EnerPHit by Demand,Ext. Wall - Rear,hr-ft2-F/Btu,25,329
envelope,envelope.party_wall,Party Wall,code_minimum,Code Minimum,Floor,hr-ft2-F/Btu,1.8,330
envelope,envelope.party_wall,Party Wall,improved_envelope,Improved Envelope,Floor,hr-ft2-F/Btu,10,330
envelope,envelope.party_wall,Party Wall,improved_hvac,Improved HVAC,Floor,hr-ft2-F/Btu,10,330
envelope,envelope.party_wall,Party Wall,enerphit_by_component,EnerPHit by Component,Floor,hr-ft2-F/Btu,19,330
envelope,envelope.party_wall,Party Wall,enerphit_by_demand,EnerPHit by Demand,Floor,hr-ft2-F/Btu,20,330
envelope,envelope.wall_ag,Wall AG,code_minimum,Code Minimum,Roof - Deck,hr-ft2-F/Btu,31.3,331
envelope,envelope.wall_ag,Wall AG,improved_envelope,Improved Envelope,Roof - Deck,hr-ft2-F/Btu,31.3,331
envelope,envelope.wall_ag,Wall AG,improved_hvac,Improved HVAC,Roof - Deck,hr-ft2-F/Btu,31.3,331
envelope,envelope.wall_ag,Wall AG,enerphit_by_component,EnerPHit by Component,Roof - Deck,hr-ft2-F/Btu,31.3,331
envelope,envelope.wall_ag,Wall AG,enerphit_by_demand,EnerPHit by Demand,Roof - Deck,hr-ft2-F/Btu,45,331
envelope,envelope.roof,Roof,code_minimum,Code Minimum,Roof - Sloped,hr-ft2-F/Btu,38.5,332
envelope,envelope.roof,Roof,improved_envelope,Improved Envelope,Roof - Sloped,hr-ft2-F/Btu,38.5,332
envelope,envelope.roof,Roof,improved_hvac,Improved HVAC,Roof - Sloped,hr-ft2-F/Btu,38.5,332
envelope,envelope.roof,Roof,enerphit_by_component,EnerPHit by Component,Roof - Sloped,hr-ft2-F/Btu,38.5,332
envelope,envelope.roof,Roof,enerphit_by_demand,EnerPHit by Demand,Roof - Sloped,hr-ft2-F/Btu,45,332
envelope,envelope.thermal_bridge_allowance_increase,Thermal Bridge Allowance (% increase),code_minimum,Code Minimum,Thermal Bridge Allowance (% increase),% Increase,0.3,343
envelope,envelope.thermal_bridge_allowance_increase,Thermal Bridge Allowance (% increase),improved_envelope,Improved Envelope,Thermal Bridge Allowance (% increase),% Increase,0.2,343
envelope,envelope.thermal_bridge_allowance_increase,Thermal Bridge Allowance (% increase),improved_hvac,Improved HVAC,Thermal Bridge Allowance (% increase),% Increase,0.2,343
envelope,envelope.thermal_bridge_allowance_increase,Thermal Bridge Allowance (% increase),enerphit_by_component,EnerPHit by Component,Thermal Bridge Allowance (% increase),% Increase,0.15,343
